EpochNum,qualityLabel_Expert1,
0,1,
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,
11,1,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,1,
19,1,
20,1,
21,1,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,1,
31,2,
32,1,
33,1,
34,1,
35,1,
36,1,
37,1,
38,1,
39,1,
40,1,
41,1,
42,1,
43,2,
44,2,
45,1,
46,1,
47,1,
48,2,
49,2,
50,2,
51,2,
52,1,
53,2,
54,1,
55,1,
56,1,
57,1,
58,1,
59,1,
60,1,
61,1,
62,1,
63,1,
64,2,
65,1,
66,2,
67,2,
68,1,
69,2,
70,2,
71,2,
72,1,
73,1,
74,1,
75,1,
76,1,
77,1,
78,1,
79,1,
80,1,
81,1,
82,2,
83,1,
84,2,
85,2,
86,2,
87,1,
88,1,
89,2,
90,2,
91,0,
92,1,
93,2,
94,2,
95,2,
96,1,
97,2,
98,1,
99,1,
100,1,
101,2,
102,2,
103,2,
104,2,
105,2,
106,2,
107,2,
108,1,
109,2,
110,2,
111,2,
112,2,
113,2,
114,1,
115,2,
116,1,
117,2,
118,1,
119,2,
120,1,
121,1,
122,1,
123,1,
124,2,
125,1,
126,1,
127,2,
128,1,
129,2,
130,1,
131,1,
132,1,
133,1,
134,2,
135,2,
136,1,
137,1,
138,1,
139,1,
140,1,
141,1,
142,1,
143,1,
144,1,
145,1,
146,1,
147,2,
148,1,
149,1,
150,2,
151,1,
152,2,
153,1,
154,1,
155,1,
156,2,
157,2,
158,2,
159,1,
160,2,
161,2,
162,2,
163,1,
164,1,
165,2,
166,1,
167,0,
168,1,
169,1,
170,2,
171,1,
172,1,
173,1,
174,1,
175,1,
176,1,
177,1,
178,1,
179,2,
180,2,
181,1,
182,2,
183,1,
184,1,
185,1,
186,1,
187,2,
188,1,
189,1,
190,1,
191,2,
192,1,
193,1,
194,1,
195,1,
196,0,
197,2,
198,1,
199,1,
200,1,
201,2,
202,2,
203,2,
204,1,
205,1,
206,1,
207,2,
208,2,
209,2,
210,2,
211,2,
212,2,
213,2,
214,2,
215,2,
216,2,
217,1,
218,1,
219,1,
220,1,
221,2,
222,2,
223,2,
224,0,
225,2,
226,1,
227,2,
228,1,
229,1,
230,2,
231,2,
232,2,
233,2,
234,2,
235,2,
236,1,
237,1,
238,1,
239,1,
240,1,
241,1,
242,2,
243,2,
244,2,
245,2,
246,1,
247,2,
248,1,
249,2,
250,2,
251,2,
252,2,
253,1,
254,1,
255,2,
256,2,
257,1,
258,2,
259,2,
260,2,
261,1,
262,2,
263,1,
264,2,
265,1,
266,2,
267,2,
268,2,
269,2,
270,2,
271,1,
272,1,
273,1,
274,1,
275,2,
276,1,
277,1,
278,1,
279,2,
280,1,
281,1,
282,1,
283,1,
284,1,
285,1,
286,2,
287,0,
288,1,
289,1,
290,1,
291,1,
292,2,
293,1,
294,1,
295,1,
296,1,
297,1,
298,1,
299,1,
300,2,
301,1,
302,1,
303,2,
304,2,
305,1,
306,1,
307,1,
308,1,
309,1,
310,2,
311,1,
312,1,
313,2,
314,2,
315,1,
316,1,
317,2,
318,1,
319,2,
320,2,
321,2,
322,1,
323,2,
324,1,
325,2,
326,1,
327,1,
328,1,
329,1,
330,2,
331,1,
332,2,
333,2,
334,2,
335,1,
336,2,
337,2,
338,1,
339,2,
340,2,
341,2,
342,2,
343,1,
344,2,
345,2,
346,2,
347,2,
348,0,
349,1,
350,2,
351,1,
352,2,
353,2,
354,1,
355,1,
356,1,
357,2,
358,1,
359,2,
360,1,
361,1,
362,2,
363,2,
364,2,
365,1,
366,2,
367,2,
368,2,
369,1,
370,1,
371,2,
372,1,
373,2,
374,2,
375,2,
376,2,
377,1,
378,1,
379,1,
380,2,
381,2,
382,2,
383,1,
384,2,
385,1,
386,1,
387,2,
388,2,
389,1,
390,2,
391,2,
392,1,
393,1,
394,1,
395,1,
396,2,
397,2,
398,1,
399,1,
400,2,
401,2,
402,1,
403,2,
404,1,
405,1,
406,2,
407,2,
408,2,
409,1,
410,1,
411,2,
412,2,
413,2,
414,1,
415,1,
416,1,
417,2,
418,1,
419,2,
420,2,
421,1,
422,1,
423,1,
424,1,
425,2,
426,2,
427,1,
428,1,
429,1,
430,1,
431,1,
432,1,
433,1,
434,1,
435,2,
436,2,
437,2,
438,2,
439,1,
440,1,
441,2,
442,1,
443,2,
444,2,
445,2,
446,2,
447,2,
448,1,
449,2,
450,2,
451,2,
452,2,
453,2,
454,2,
455,2,
456,2,
457,2,
458,1,
459,1,
460,2,
461,2,
462,2,
463,1,
464,2,
465,2,
466,1,
467,1,
468,2,
469,1,
470,1,
471,1,
472,1,
473,2,
474,2,
475,1,
476,1,
477,1,
478,1,
479,1,
480,2,
481,1,
482,1,
483,2,
484,2,
485,1,
486,1,
487,2,
488,1,
489,1,
490,1,
491,1,
492,1,
493,2,
494,2,
495,2,
496,2,
497,1,
498,2,
499,2,
500,1,
501,1,
502,1,
503,2,
504,2,
505,2,
506,1,
507,2,
508,2,
509,2,
510,2,
511,2,
512,2,
513,2,
514,2,
515,1,
516,1,
517,1,
518,1,
519,2,
520,2,
521,2,
522,2,
523,1,
524,1,
525,1,
526,1,
527,1,
528,1,
529,1,
530,1,
531,1,
532,1,
533,1,
534,1,
535,1,
536,1,
537,1,
538,2,
539,2,
540,2,
541,2,
542,2,
543,2,
544,2,
545,1,
546,1,
547,1,
548,1,
549,1,
550,1,
551,1,
552,2,
553,2,
554,1,
555,1,
556,1,
557,1,
558,1,
559,1,
560,1,
561,1,
562,1,
563,2,
564,1,
565,1,
566,1,
567,1,
568,1,
569,1,
570,1,
571,2,
572,2,
573,2,
574,1,
575,1,
576,1,
577,1,
578,1,
579,1,
580,1,
581,1,
582,1,
583,1,
584,1,
585,1,
586,1,
587,2,
588,2,
589,1,
590,1,
591,1,
592,2,
593,1,
594,2,
595,2,
596,1,
597,1,
598,2,
599,2,
600,1,
601,1,
602,1,
603,1,
604,1,
605,1,
606,1,
607,2,
608,1,
609,1,
610,1,
611,1,
612,1,
613,1,
614,2,
615,2,
616,1,
617,1,
618,1,
619,1,
620,1,
621,1,
622,1,
623,2,
624,1,
625,1,
626,1,
627,1,
628,2,
629,1,
630,1,
631,1,
632,1,
633,1,
634,1,
635,1,
636,1,
637,2,
638,1,
639,1,
640,1,
641,1,
642,1,
643,1,
644,1,
645,1,
646,2,
