'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'hh:mm:ss.mmm','mV','mV','degs^-1','degs^-1','degs^-1','ms^-2','ms^-2','ms^-2','ms^-2','ms^-2','ms^-2','Ga','Ga','Ga','s'
'0:00.000',-102.590,1133.339,-18.411,66.839,-48.372,3.381,-10.870,2.932,3.353,-10.872,2.889,-0.498,0.263,-0.643,39.997
'0:00.004',-97.458,1135.529,-17.475,64.391,-48.333,3.319,-10.917,2.883,3.314,-10.909,2.966,-0.499,0.266,-0.628,40.001
'0:00.008',-109.595,1142.133,-16.161,61.859,-48.216,3.234,-10.916,2.857,3.161,-10.908,2.885,-0.499,0.266,-0.628,40.005
'0:00.012',-111.746,1146.512,-14.853,59.840,-48.194,3.210,-10.879,2.857,3.122,-10.948,2.806,-0.499,0.263,-0.653,40.008
'0:00.016',-117.133,1147.995,-13.475,57.492,-48.176,3.136,-10.842,2.857,3.161,-10.831,2.846,-0.510,0.264,-0.611,40.012
'0:00.020',-118.496,1163.357,-12.036,55.212,-48.459,3.125,-10.780,2.906,3.044,-10.787,3.002,-0.510,0.284,-0.618,40.016
'0:00.023',-98.800,1170.702,-10.878,52.619,-48.894,3.089,-10.743,2.919,3.045,-10.710,2.963,-0.501,0.278,-0.599,40.020
'0:00.027',-110.404,1174.375,-9.344,50.110,-49.212,3.089,-10.682,2.956,3.045,-10.673,2.924,-0.505,0.275,-0.634,40.024
'0:00.031',-64.028,1179.495,-8.236,47.731,-49.425,3.040,-10.669,2.956,3.045,-10.672,2.963,-0.498,0.284,-0.597,40.028
'0:00.035',23.039,1166.288,-6.833,45.169,-49.525,3.004,-10.597,2.944,3.006,-10.593,2.963,-0.498,0.284,-0.597,40.032
'0:00.039',82.085,1225.651,-5.808,42.790,-49.342,2.957,-10.475,2.946,2.891,-10.474,3.001,-0.501,0.289,-0.653,40.036
'0:00.043',137.361,1233.702,-4.561,39.921,-49.164,2.884,-10.353,2.947,2.891,-10.397,3.002,-0.512,0.275,-0.605,40.040
'0:00.047',164.595,1212.443,-3.682,37.718,-49.242,2.825,-10.196,2.937,2.738,-10.203,2.845,-0.510,0.289,-0.574,40.044
'0:00.051',120.646,1238.081,-2.785,35.470,-49.703,2.753,-10.026,2.951,2.699,-10.044,3.002,-0.498,0.294,-0.557,40.048
'0:00.055',21.165,1240.306,-1.486,33.534,-49.534,2.694,-9.869,2.917,2.584,-9.850,2.884,-0.508,0.298,-0.620,40.051
'0:00.059',-125.757,1299.634,-0.465,32.020,-49.847,2.671,-9.724,2.907,2.547,-9.734,2.806,-0.508,0.298,-0.620,40.055
'0:00.063',-236.033,1273.996,0.554,30.635,-49.990,2.648,-9.580,2.897,2.508,-9.616,2.845,-0.526,0.287,-0.590,40.059
'0:00.066',-330.383,1320.893,1.184,29.021,-50.243,2.625,-9.435,2.887,2.585,-9.423,2.887,-0.506,0.305,-0.605,40.063
'0:00.070',-288.861,1353.841,1.925,27.698,-50.364,2.614,-9.315,2.865,2.547,-9.384,2.809,-0.520,0.286,-0.605,40.067
'0:00.074',-221.469,1358.962,2.237,26.398,-50.564,2.616,-9.195,2.879,2.548,-9.152,2.772,-0.519,0.303,-0.572,40.071
'0:00.078',-252.216,1383.152,2.963,25.388,-50.508,2.605,-9.062,2.882,2.586,-9.114,2.772,-0.533,0.298,-0.572,40.075
'0:00.082',-251.407,1392.687,3.007,24.676,-50.356,2.594,-8.977,2.907,2.470,-8.955,2.850,-0.522,0.307,-0.578,40.079
'0:00.086',-211.759,1430.756,3.421,24.118,-50.116,2.570,-8.880,2.921,2.587,-8.921,2.735,-0.522,0.307,-0.578,40.083
'0:00.090',-192.085,1438.101,3.638,23.912,-49.825,2.571,-8.772,2.947,2.431,-8.759,2.929,-0.527,0.298,-0.590,40.087
'0:00.094',-159.187,1441.739,3.848,23.858,-48.994,2.572,-8.688,2.948,2.508,-8.722,2.892,-0.510,0.310,-0.549,40.090
'0:00.098',-140.598,1458.619,3.841,24.225,-48.624,2.536,-8.591,2.938,2.470,-8.644,2.892,-0.526,0.305,-0.601,40.094
'0:00.102',-123.074,1468.118,3.813,24.516,-47.942,2.501,-8.482,2.939,2.432,-8.488,2.892,-0.534,0.310,-0.551,40.098
'0:00.105',-113.087,1469.602,3.720,24.722,-47.663,2.477,-8.385,2.941,2.355,-8.410,2.852,-0.541,0.312,-0.561,40.102
'0:00.109',-122.797,1491.567,3.513,24.715,-46.972,2.442,-8.312,2.929,2.433,-8.373,2.776,-0.526,0.317,-0.545,40.106
'0:00.113',-137.894,1515.016,3.259,24.608,-46.315,2.418,-8.252,2.930,2.315,-8.288,3.087,-0.526,0.317,-0.545,40.110
'0:00.117',-123.351,1550.189,3.113,24.952,-45.719,2.370,-8.167,2.919,2.278,-8.213,2.931,-0.533,0.316,-0.572,40.114
'0:00.121',-110.128,1525.998,2.899,24.937,-44.632,2.333,-8.130,2.895,2.279,-8.138,2.775,-0.527,0.319,-0.538,40.118
